data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2023-05-01,2023,Mai,39.0,8.0,7.2,5.6,4.0,38.0,99.0,0.69,0.12,257.0,True,False,False,False,False,False,1,4,3
2023-06-01,2023,Jun,56.0,19.0,7.2,6.4,4.6,39.0,77.0,1.28,0.19,254.0,False,False,False,False,False,False,0,4,3
2023-07-01,2023,Jul,35.0,9.0,7.1,7.3,3.8,33.0,85.0,0.38,0.09,333.0,False,False,False,False,False,False,0,3,2
2023-08-01,2023,Ago,41.0,10.0,7.2,8.2,3.7,46.0,58.0,0.51,0.16,377.0,False,False,False,False,False,False,0,5,4
2023-09-01,2023,Set,55.0,14.0,7.2,8.6,3.9,35.0,45.0,1.87,0.19,361.0,False,False,False,False,False,False,0,7,6
2023-10-01,2023,Out,176.0,121.0,7.2,9.5,4.3,35.0,53.0,4.31,0.3,207.0,False,False,False,False,False,False,0,7,6
2023-11-01,2023,Nov,207.0,131.0,7.2,9.6,4.2,27.0,53.0,4.37,0.14,218.0,False,False,False,False,False,False,0,6,5
2023-12-01,2023,Dez,146.0,74.0,7.3,8.0,3.8,29.0,51.0,2.67,0.11,216.0,False,False,False,False,False,False,0,6,5
2024-01-01,2024,Jan,118.0,63.0,7.1,8.1,4.1,25.0,38.0,0.17,0.02,206.0,False,False,False,False,False,False,0,2,2
2024-02-01,2024,Fev,134.0,76.0,7.1,10.7,3.7,26.0,59.0,4.05,0.23,215.0,False,False,False,False,False,False,0,5,4
